abstract,doi,eid,link,scholar,scopus,title,year
"Software-defined networks (SDN), an emergent paradigm for network management, define abstractions to represent network entities and logically centralize them in a network controller. We argue that SDN's abstraction is the most promising way to successfully create agent-based architectures to control and manage large-scale parts of the Internet. This article makes a strong case for these architectures by introducing a framework that integrates autonomous networks and SDN. First, we define autonomous SDN by complementary features of agent frameworks and those of SDN. Then we describe our agent approach, called AgNOS, which builds cooperative SDNs that extend their domains beyond enterprise networks. Finally, as a proof-of-concept, we present a case study on an important open issue of the Internet: mitigation of DDoS attacks when thousands of attackers perform malicious packet flooding and SDN domains must cooperate to cope with packet filtering at the source. © 2014 IEEE.",10.1109/AINA.2014.114,2-s2.0-84903827722,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84903827722&origin=inward,,11.0,AgNOS: A framework for autonomous control of software-defined networks,2014
"Global Information Grid (GIG) operations would benefit greatly from improved support for virtual machines (VMs) that can migrate not only between physical devices within a datacentre, but also between physical devices located on different continents, while maintaining their existing IP communications sessions. Such VM migration can enable improvements with: CPU load-balancing, network traffic-engineering, distributed denial of service (DDoS) mitigation, fault-tolerance, and resilience. Existing migration approaches often require complex network configuration and management, may often require use of expensive proprietary technologies, and also often require active cooperation from upstream service providers. We describe a VM mobility approach that enables datacentre operators to directly and unilaterally provide and control intra-site and wide-area VM mobility. We present several use cases with different degrees of location transparency. Our mechanism is based on a new naming approach which has been recommended for progression within the IETF. © 2012 IEEE.",10.1109/MILCOM.2012.6415716,2-s2.0-84874319715,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84874319715&origin=inward,,6.0,Secure & agile wide-area virtual machine mobility,2012
"Distributed denial-of-service (DDoS) attacks present serious threats to servers in the Internet. They can exhaust critical resources at a target host with the help of a large number of compromised Internet hosts and hence deny services to legitimate clients. This paper studies some existing schemes for the detection and defense against TCP-based DDoS attacks. We propose a distributed scheme that can mitigate the damage caused by DDoS through a coordinated detection and response framework. This proposed scheme composes of a number of heterogeneous defense systems which cooperate with each other in protecting Internet servers. We have set up a network testbed for carrying out extensive experiments using real server machines, routers and software attack tools. Experimental results show that, compared to existing schemes, our proposed scheme can greatly improve the throughput of legitimate traffic and reduce the attack traffic during DDoS attacks. To investigate the scale-up behavior of our scheme, we have also developed a software simulator for largerscale experiments. Simulation results show that our scheme performs consistently well even in networks with more than 3000 nodes and under high traffic load. © 2006 IEEE.",10.1109/ICC.2006.255091,2-s2.0-42549129280,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=42549129280&origin=inward,,17.0,A coordinated detection and response scheme for distributed denial-of-service attacks,2006
"© 2017 IEEE.Software Defined Networking (SDN) is a promising solution for addressing challenges of future networks. Despite its advantages such as flexibility, simplification and low costs, it has several drawbacks that are largely induced by the centralized control paradigm. Security is one of the most significant challenges related to centralization. In that regard, Distributed Denial of Service (DDoS) attacks pose crucial security questions in software-defined networks. In SDN architecture, switches send all packets to the controller if they do not have any applicable rules in their flow tables. Basically, controller is the key place that can take initiative in decisions. However, this characteristic results in large communication overhead and delay until a DDoS attack is detected and an appropriate action is activated against attack packets. Therefore, in this work we propose a hybrid mechanism, namely SDNScore, where switches are not simply data forwarders. Instead, they can collect statistics and decide if DDoS attack is in action. Then they coordinate with the controller and act on attack packets in cooperation. SDNScore is a statistical and packet-based defense mechanism against DDoS attacks in SDN environment. Since it has a statistical scoring method, it can detect not only known but also unknown attacks entailing packets that are alike in terms of TCP and IP layer properties. In addition, it does not drop all packets in a flow which includes both attack and legal packets, but rather filters out attack packets using packet-based analysis.",10.1109/ISCC.2017.8024605,2-s2.0-85030554390,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85030554390&origin=inward,,14.0,SDNScore: A statistical defense mechanism against DDoS attacks in SDN environment,2017
"© 2014 IEEE.Customer Edge Switching (CES) is a proposed replacement of Network Address Translators (NAT) that overcomes the drawbacks of traditional NAT traversal schemes. CES enabled networks assure policy based reach ability of hosts in private realms, without requiring keep-alive signaling. CES aims at improving security in the Internet by balancing the interests of the receiver with the interests of the sender, unlike the traditional best effort Internet that solely attends to the interests of the sender. The architecture substantially helps with the scalability limitations of IPv4 due to the generalization of private addressing of the hosts. This paper relates to the specifics of security in Customer Edge Switches and presents security models that protect hosts in private realms against attacks. The presented work is a part of a larger project that addresses many issues of the current Internet and proposes the use of CES as collaborative firewalls to reduce volume of unwanted traffic and mitigate Denial of Service (DoS) attacks in the Internet.",10.1109/HPCC.2014.135,2-s2.0-84949924935,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84949924935&origin=inward,,4.0,Security mechanisms for a cooperative firewall,2014
"© 2016 Inderscience Enterprises Ltd.Due to dynamic and infrastructure less nature of mobile adhoc network, it is prone to various kinds of attacks. In this paper, we have proposed a distributed agent-based detection system for network layer attacks using PSO and neural network in MANET. In the proposed technique four agents are considered with different complementary role in order to detect attack. For efficient detection of the intrusion, the network is divided into small zones. In each zone one detection agent is presents to manage and detect the irregularity in node activities. Detection agent is found by using particle swarm optimisation (PSO) technique. After the detection of invader, response agent is generated and is reacted with the invader to avoid future damage. Also, back propagation neural (BPN) network is collaborated with the detection agent to detect the network attacks.",10.1504/IJMNDI.2016.081659,2-s2.0-85010644360,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85010644360&origin=inward,,0.0,Distributed agent-based detection system using PSO and neural network for MANET,2016
"© 2016 IEEE.The ongoing transition towards a networked society requires reliable and secure network infrastructure and services. As networks evolve from simple point to point systems towards complex, software-defined, ultra-high capacity and reach, and distributed cloud environments, new security challenges emerge. The EU-funded RECODIS project aims at coordinating and fostering research collaboration in Europe on disaster resiliency in communication networks. One of the disaster types, considered by RECODIS Working Group (WG) 4, are deliberate human-made attacks aimed at gaining unauthorized access to the network or disrupting the service. In order to develop methods for increasing network security in the presence of attacks, it is crucial to first identify the security vulnerabilities and attack methods that exploit them, as well as the capabilities and shortcomings of existing security schemes. To this end, the members of RECODIS WG4 performed a comprehensive overview of attack methods and security approaches from the literature. This overview covers the security vulnerabilities inherent to the underlying physical layer, the implications of software-defined networking to security, and security challenges in cloud networks spanning geographically distributed data centers.",10.1109/RNDM.2016.7608266,2-s2.0-84999792448,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84999792448&origin=inward,,15.0,An overview of security challenges in communication networks,2016
"Security threats for the network services have been constantly increasing day by day. Distributed denial of service (DDoS) attack is one such kind of security threat which involves multiple systems generating a large amount of traffic towards a target machine and thereby making any service from that target machine or server unavailable to its clients. This threat by nature needs no control over the target system. Traditional methods of detecting DDoS attacks are mostly centralized in nature and highly disadvantageous. To overcome the disadvantages of those schemes, we propose a distributed methodology which involves installing the attack detectors at various parts of the network. Each router in the network will monitor the traffic flowing through it and if any anomaly in the traffic pattern is detected, it will raise an alarm to the nearby routers. The alarm propagates to all the routers through which the attack flows. By this way a tree like construct is made, which will have information about number of alarms raised and the path of the attack flow. If the construct shows any converging pattern then it is declared as DDoS attack. © 2011 IEEE.",10.1109/ICRTIT.2011.5972338,2-s2.0-80052249034,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80052249034&origin=inward,,1.0,CoDe - An collaborative detection algorithm for DDoS attacks,2011
"Game-theoretic approaches have been previously employed in the research area of network security in order to explore the interaction between an attacker and a defender during a Distributed Denial of Service (DDoS) attack scenario. Existing literature investigates payoffs and optimal strategies for both parties, in order to provide the defender with an optimal defence strategy. In this paper, we model a DDoS attack as a one-shot, non-cooperative, zero-sum game. We extend previous work by incorporating in our model a richer set of options available to the attacker compared to what has been previously achieved. We investigate multiple permutations in terms of the cost to perform an attack, the number of attacking nodes, malicious traffic probability distributions and their parameters. We analytically demonstrate that there exists a single optimal strategy available to the defender. By adopting it, the defender sets an upper boundary to attacker payoff, which can only be achieved if the attacker is a rational player. For all other attack strategies (those adopted by irrational attackers), attacker payoff will be lower than this boundary. We preliminary validate this model via simulations with the ns2 network simulator. The simulated environment replicates the analytical model's parameters and the results confirm our model's accuracy. © 2013 Elsevier Ltd.",10.1016/j.cose.2013.03.014,2-s2.0-84885184956,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84885184956&origin=inward,,46.0,A game theoretic defence framework against DoS/DDoS cyber attacks,2013
"© 2017 IEEE.DDoS attacks are becoming increasingly harmful and destructive, especially when multinational companies and government e-services are targeted. Monitoring large scale networks, naturally, involves the processing of an increasingly large quantity of data. While DDoS attacks are by definition distributed and the hackers have access to many (real and virtual) machines, the majority of defense systems are still centralized. In this paper, we present a solution to the scalability problem in DDoS detection and mitigation systems. We simultaneously allow a distributed inference of DDoS attacks, and solve the, so called, 'single point of failure' problem by using the paxos consensus protocol. We also demonstrate that wavelet compression methods allow the collaborating probes to analyse a reduced set of traffic without impacting the overall reliability of our DDoS detection system. The Empirical evaluations based on the Booters dataset 1 demonstrate that the proposed approach is indeed capable to cooperatively infer DDoS attacks while achieving scalability and reliability.",10.1109/AICCSA.2017.137,2-s2.0-85046090129,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85046090129&origin=inward,,0.0,On the collaborative inference of DDoS: A multi-scale distributed approach,2018
"© 2019 Academy and Industry Research Collaboration Center (AIRCC).Sniffing is one of the most prominent causes for most of the attacks in the digitized computing environment. Through various packet analyzers or sniffers available free of cost, the network packets can be captured and analyzed. The sensitive information of the victim like user credentials, passwords, a PIN which is of more considerable interest to the assailants' can be stolen through sniffers. This is the primary reason for most of the variations of DDoS attacks in the network from a variety of its catalog of attacks. An effective and trusted framework for detecting and preventing these sniffing has greater significance in today's computing. A counter hack method to avoid data theft is to encrypt sensitive information. This paper provides an analysis of the most prominent sniffing attacks. Moreover, this is one of the most important strides to guarantee system security. Also, a Lattice structure has been derived to prove that sniffing is the prominent activity for DoS or DDoS attacks.",10.5121/ijcnc.2019.11406,2-s2.0-85075145983,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075145983&origin=inward,,1.0,Lattice structural analysis on sniffing to denial of service attacks,2019
"Distributed denial of service (DDoS) is a major threat to the availability of Internet services. The anonymity allowed by IP networking, together with the distributed, large scale nature of the Internet, makes DDoS attacks stealthy and difficult to counter. To make the problem worse, attack traffic is often indistinguishable from normal traffic. As various attack tools become widely available and require minimum knowledge to operate, automated anti-DDoS systems become increasingly important. Many current solutions are either excessively expensive or require universal deployment across many administrative domains. This paper proposes two perimeter-based defense mechanisms for Internet service providers (ISPs) to provide the anti-DDoS service to their customers. These mechanisms rely completely on the edge routers to cooperatively identify the flooding sources and establish rate-limit filters to block the attack traffic. The system does not require any support from routers outside or inside of the ISP, which not only makes it locally deployable, but also avoids the stress on the ISP core routers. We also study a new problem of perimeter-based IP traceback and provide three solutions. We demonstrate analytically and by simulations that the proposed defense mechanisms react quickly in blocking attack traffic while achieving high survival ratio for legitimate traffic. Even when 40 percent of all customer networks attack, the survival ratio for traffic from the other customer networks is still close to 100 percent. © 2005 IEEE.",10.1109/TPDS.2005.74,2-s2.0-21244446746,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=21244446746&origin=inward,,56.0,Perimeter-based defense against high bandwidth DDoS attacks,2005
"© 2018, Zarka Private University. All rights reserved.Distributed denial of service attack has become a challenging threat in today’s Internet. The adversaries often use spoofed IP addresses, which in turn makes the defense process very difficult. The sophistication of the attack is increasing due to the difficulty in tracing back the origin of attack. The researchers have contributed many traceback schemes to find out the origin of such attacks. In the majority of the existing methods they either mark the packets or log the hash digest of the packets at the routers in the attack path, which is computational and storage intensive. The proposed IP trace back scheme is an User Datagram Protocolbased (UDP) approach using packet marking which requires computation and storage only at the edge router and victim and hence it does not overload the intermediate routers in the attack path. Unlike existing traceback schemes which requires numerous packets to traceback an attacker, the proposed scheme requires only a single trace information marked packet to identify an attacker. It supports incremental deployment which is a desirable characteristic of a practical traceback scheme. The work was simulated with real time Internet dataset from the Cooperative Association for Internet Data Analysis (CAIDA) and found that the storage requirement at the victim is less than 1.2 MB which is nearly 3413 times lesser than the existing related packet marking method. It was also implemented in real time in the experimental DDoS Test Bed the efficacy of the system was evaluated.",,2-s2.0-85040932669,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85040932669&origin=inward,,1.0,UDP based IP Traceback for Flooding DDoS Attack,2018
"Denial-of-Service (DoS) and Distributed Denial-of-Service (DDoS) attacks are becoming increasingly sophisticated with few practical solutions available. In this paper we consider the issue of filtering reflector based DoS attacks and of identifying attackers. For reflector based attacks, a Signature Conflict Triggered Filtering (SCTF) ([4]) scheme based on Deterministic Edge Router Marking (DERM) ([8]) was proposed. We suggest an enhancement to make the 3-way handshake in SCTF stateless and call it Fast-SCTF. We then propose a framework using BGP for a single-packet handshake.We demonstrate that our proposed scheme is space efficient, more secure, robust and it requires very little cooperation among autonomous systems.",,2-s2.0-79851496296,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79851496296&origin=inward,,5.0,Defeating reflector based denial-of-service attacks using single packet filters,2010
"The main aim is to provide energy efficiency for cooperative multi channel MAC protocols by using DISH strategies. Distributed Information SHaring (DISH) is a new cooperative approach to designing multichannel MAC protocols. It aids nodes in their decision making processes by compensating for their missing information via information sharing through neighbouring nodes. This approach was recently shown to significantly boost the throughput of multichannel MAC protocols. However, a critical issue for ad hoc communication devices, viz. energy efficiency, has yet to be addressed. In this project, address this issue by developing simple solutions that reduce the energy consumption without compromising the throughput performance and meanwhile maximize cost efficiency. © 2013 IEEE.",10.1109/ICICES.2013.6508259,2-s2.0-84879873098,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84879873098&origin=inward,,0.0,Energy conservation and DDOS detection using intelligent node in mobile adhoc network,2013
"© 2013 IEEE.Intrusion Detection System (IDS) is the process of monitoring the events that occur in a system or network and process them for possible intrusions where as Intrusion Prevention System (IPS) has the capability to attempt to stop such possible intrusions. Combining the two systems will result in IDPS which not only detects the attacks but also prevent such attacks to occur in the networks. Distributed Denial of Service (DDOS) attacks are the major concern for security in the collaborative networks. Although non DDOS attacks are also make the network performances poor, the effect of DDOS attacks is severe. In DDOS attacks, flooding of the particular node as victim and jam it with massive traffic happens and the complete network performance is affected. In this paper, a novel Intrusion Detection and Prevention System is designed which detects the flooding DDOS attacks based on Firecol and prevents the attacks based on Dynamic Growing Self Organizing Tree (DGSOT) for collaborative networks. Simulation results show that DGSOT with Firecol (DGSOTFC) produces better intrusion detection and prevention system. Performance metrics based on the parameters delay and energy conservation are better in DGSOT-FC than the traditional IDPS systems.",10.1109/ICoAC.2013.6921946,2-s2.0-84911033526,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84911033526&origin=inward,,4.0,Design of Intrusion Detection and Prevention System (IDPS) using DGSOTFC in collaborative protection networks,2014
"© 2019 IEEE.A cooperative network defense is one approach to fend off large-scale Distributed Denial-of-Service (DDoS) attacks. In this regard, the Blockchain Signaling System (BloSS) is a multi-domain, blockchain-based, cooperative DDoS defense system, where each Autonomous System (AS) is taking part in the defense alliance. Each AS can exchange attack information about ongoing attacks via the Ethereum blockchain. However, the currently operational implementation of BloSS is not interactive or visualized, but the DDoS mitigation is automated. In realworld defense systems, a human cybersecurity analyst decides whether a DDoS threat should be mitigated or not. Thus, this work presents the design of a security management dashboard for BloSS, designed for interactive use by cyber security analysts.",10.1109/BLOC.2019.8751272,2-s2.0-85069149484,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85069149484&origin=inward,,1.0,Security management and visualization in a blockchain-based collaborative defense,2019
"Distributed denial-of-service (DDoS) attacks pose a great danger to the Internet. In this paper, DDoS Attack Tolerance using Cooperative Network Structure (DATCONS) is proposed, which uses suitable and flexible models at different network locations, gathers information from different layers, propagates the information, provides differentiation of the services and ensures the level of the web QoS based on the idea of distributed attack detection and protection. DATCONS aims to filter out DDoS attacks as close to the source as possible. The framework and network environment were prototyped to show the effectiveness of DATCONS in different attack scenarios. © 2006 IEEE.",,2-s2.0-42749105142,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=42749105142&origin=inward,,0.0,DATCONS: Protecting web-based QoS from DDoS attacks,2006
"Flooding based Distributed Denial of Service (DDoS) attacks can cause very serious security problem by exhausting computing and bandwidth resources of victims. To mitigate these destructive attacks, it is crucially important to detect the occurrence of DDoS attacks and identify their targets as early as possible. In this paper, we propose a collaborative DDoS detection system, called VicSifter, which can detect ongoing DDoS attacks and identify victims at an early stage with good scalability and low overhead. VicSifter is deployed over multiple nodes with two kinds of functions: local anomaly detection and collaborative victim identification. The anomaly detection method is performed locally and is lightweight to save computation by measuring passing packets in a sketch. The collaborative victim identification is triggered only when a local anomaly is detected by employing our distinctive elimination mechanism. The mechanism can significantly reduce the number of packets to be processed by each node, making our system scalable for high-speed network links. We evaluate the performance of VicSifter by using real-world data traffic, mixing the real DDoS attack traces with captured campus gateway traffic. The results show that our system has high accuracy in the early detection of DDoS attacks and timely identification of targeted victims. Our system can outperform other existing methods with less space requirement, and thus achieving good system scalability. © 2012 IEEE.",10.1109/TrustCom.2012.295,2-s2.0-84868098039,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84868098039&origin=inward,,9.0,VicSifter: A collaborative DDoS detection system with lightweight victim identification,2012
